COF,absIC
ElectricEquipment-->Level1:Zone4 Computing gain 1-->Design Level,0.002437413
Lights-->Level1:Zone10 General lighting-->Lighting Level,0.002310436
ElectricEquipment-->Level1Z1:Zone36 Equipment 1-->Design Level,0.0021644
Lights-->Level0:Zone36 General lighting-->Lighting Level,0.002143492
Lights-->Level0:Zone22 General lighting-->Lighting Level,0.002131202
Lights-->Level0:Zone28 General lighting-->Lighting Level,0.002120298
Lights-->Level1Z1:Zone7 General lighting-->Lighting Level,0.002109393
Lights-->Level2:Zone37 General lighting-->Lighting Level,0.002082434
Lights-->Level2:Zone26 General lighting-->Lighting Level,0.002015016
ElectricEquipment-->Level0:Zone33 Equipment 1-->Design Level,0.001993266
Lights-->Level1Z1:Zone9 General lighting-->Lighting Level,0.00188892
ElectricEquipment-->Level0:Zone36 Equipment 1-->Design Level,0.001800733
ElectricEquipment-->Level1Z1:Zone4 Computing gain 1-->Design Level,0.001786572
ElectricEquipment-->Level1Z1:Zone4 Equipment 2-->Design Level,0.001786572
Lights-->Level2:Zone30 General lighting-->Lighting Level,0.001786409
ElectricEquipment-->Level1Z1:Zone7 Computing gain 1-->Design Level,0.001744708
ElectricEquipment-->Level1Z1:Zone7 Equipment 2-->Design Level,0.001744708
ElectricEquipment-->Level1:Zone3 Computing gain 1-->Design Level,0.001667594
ElectricEquipment-->Level1:Zone3 Equipment 2-->Design Level,0.001667594
Lights-->Level1Z1:Zone4 General lighting-->Lighting Level,0.001637119
Lights-->Level2:Zone17 General lighting-->Lighting Level,0.001607175
ElectricEquipment-->Level1Z1:Zone37 Equipment 1-->Design Level,0.00159435
Lights-->Level0:Zone48 General lighting-->Lighting Level,0.001529458
Lights-->Level0:Zone11 General lighting-->Lighting Level,0.001522708
Lights-->Level2:Zone15 General lighting-->Lighting Level,0.001516563
ElectricEquipment-->Level1:Zone2 Equipment 2-->Design Level,0.001427586
ElectricEquipment-->Level1:Zone2 Computing gain 1-->Design Level,0.001427586
ElectricEquipment-->Level1:Zone11 Computing gain 1-->Design Level,0.00138042
ElectricEquipment-->Level1:Zone11 Equipment 2-->Design Level,0.00138042
ElectricEquipment-->Level1Z1:Zone44 Equipment 2-->Design Level,0.001317158
ElectricEquipment-->Level1Z1:Zone44 Computing gain 1-->Design Level,0.001317158
ElectricEquipment-->Level2:Zone34 Equipment 1-->Design Level,0.001291079
Site:GroundReflectance-->Site:GroundReflectance-->May Ground Reflectance,0.001272986
Lights-->Level2:Zone25 General lighting-->Lighting Level,0.001228283
ElectricEquipment-->Level1Z1:Zone28 Computing gain 1-->Design Level,0.001226193
ElectricEquipment-->Level1Z1:Zone28 Equipment 2-->Design Level,0.001226193
Site:GroundReflectance-->Site:GroundReflectance-->June Ground Reflectance,0.001211187
Lights-->Level1:Zone9 General lighting-->Lighting Level,0.001195959
ElectricEquipment-->Level1Z1:Zone45 Computing gain 1-->Design Level,0.001187887
ElectricEquipment-->Level1Z1:Zone45 Equipment 2-->Design Level,0.001187887
ElectricEquipment-->Level1AddedPart:Zone3 Equipment 1-->Design Level,0.001152949
ElectricEquipment-->Level1AddedPart:Zone5 Equipment 1-->Design Level,0.001139098
Lights-->Level2:Zone10 General lighting-->Lighting Level,0.001114477
Site:GroundReflectance-->Site:GroundReflectance-->August Ground Reflectance,0.001071013
ElectricEquipment-->Level2:Zone37 Equipment 1-->Design Level,0.001055871
ElectricEquipment-->Level2:Zone10 Equipment 1-->Design Level,0.001023679
