Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/09  20:00:00,163453733.1,0,0
 01/09  21:00:00,12249030.9,0,0
 01/09  22:00:00,12249030.9,0,0
 01/09  23:00:00,11560350.54,0,0
 01/09  24:00:00,10182989.83,0,0
 01/10  01:00:00,9478623.992,0,0
 01/10  02:00:00,9478623.992,0,0
 01/10  03:00:00,9478623.992,0,0
 01/10  04:00:00,9478623.992,0,0
 01/10  05:00:00,9478623.992,51273.53064,0
 01/10  06:00:00,9478623.992,540985149.1,0
 01/10  07:00:00,14017756.35,418926321.4,2.44E-04
 01/10  08:00:00,479136334.1,263264063.3,4.33E-02
 01/10  09:00:00,438363523.7,209389675.8,5.85E-02
 01/10  10:00:00,302995730.3,210267191.8,8.86E-02
 01/10  11:00:00,261176088,161957791.2,8.86E-02
 01/10  12:00:00,249012182.5,102984490.9,0.109565663
 01/10  13:00:00,245913354.9,86311871.36,0.157407058
 01/10  14:00:00,247520937.1,75987300.04,0.157407058
 01/10  15:00:00,253745317.4,70623671.09,0.151238988
 01/10  16:00:00,319083455.9,51627574.13,8.79E-02
 01/10  17:00:00,487200577.7,23033951.62,6.04E-02
 01/10  18:00:00,473470003.4,17755007,3.01E-02
 01/10  19:00:00,470351466.9,15264831.84,1.50E-02
 01/10  20:00:00,163453733.1,0,0
 01/10  21:00:00,12249030.9,0,0
 01/10  22:00:00,12249030.9,0,0
 01/10  23:00:00,11560350.54,0,0
 01/10  24:00:00,10182989.83,0,0
 01/11  01:00:00,9478623.992,0,0
 01/11  02:00:00,9478623.992,0,0
 01/11  03:00:00,9478623.992,0,0
 01/11  04:00:00,9478623.992,0,0
 01/11  05:00:00,9478623.992,0,0
 01/11  06:00:00,9478623.992,467837745.6,0
 01/11  07:00:00,14017756.35,353841114.5,2.44E-04
 01/11  08:00:00,479136334.1,197286309.5,4.33E-02
 01/11  09:00:00,438246559.6,146611726.6,5.85E-02
 01/11  10:00:00,302718700.3,165627381.4,8.86E-02
 01/11  11:00:00,262976273.1,149084759.6,8.86E-02
 01/11  12:00:00,254243665.2,146545157.8,0.109565663
 01/11  13:00:00,252894712.4,146339197.7,0.157407058
 01/11  14:00:00,262022791.6,145323405.3,0.157407058
 01/11  15:00:00,299511340.1,141672949.5,0.151238988
 01/11  16:00:00,394853081.6,112407880.9,8.79E-02
 01/11  17:00:00,487200577.7,60457744.53,6.04E-02
 01/11  18:00:00,473470003.4,57950356.06,3.01E-02
 01/11  19:00:00,470351466.9,74688708.83,1.50E-02
 01/11  20:00:00,163453733.1,0,0
 01/11  21:00:00,12249030.9,0,0
 01/11  22:00:00,12249030.9,0,0
 01/11  23:00:00,11560350.54,0,0
 01/11  24:00:00,10182989.83,0,0
 01/12  01:00:00,9478623.992,0,0
 01/12  02:00:00,9478623.992,0,0
 01/12  03:00:00,9478623.992,0,0
 01/12  04:00:00,9478623.992,0,0
 01/12  05:00:00,9478623.992,273505.0924,0
 01/12  06:00:00,9478623.992,629717585.6,0
 01/12  07:00:00,14017756.35,485283350.7,2.44E-04
 01/12  08:00:00,479136334.1,356727201.5,4.33E-02
 01/12  09:00:00,454220043.7,276882452.7,5.85E-02
 01/12  10:00:00,339238882.7,300116445.5,8.86E-02
 01/12  11:00:00,268665152.1,291304539.5,8.86E-02
 01/12  12:00:00,254249091.5,271297092.3,0.109565663
 01/12  13:00:00,251053755.1,254257126.5,0.157407058
 01/12  14:00:00,251919448.9,223465059.3,0.157407058
 01/12  15:00:00,265523857.5,211223779.8,0.151238988
 01/12  16:00:00,336970745,189464248.6,8.79E-02
 01/12  17:00:00,487200577.7,112140397.9,6.04E-02
 01/12  18:00:00,473470003.4,114411975,3.01E-02
 01/12  19:00:00,470351466.9,117346704.4,1.50E-02
 01/12  20:00:00,163453733.1,0,0
 01/12  21:00:00,12249030.9,0,0
 01/12  22:00:00,12249030.9,0,0
 01/12  23:00:00,11560350.54,0,0
 01/12  24:00:00,10182989.83,0,0
 01/13  01:00:00,9478623.992,696980.9081,0
 01/13  02:00:00,9478623.992,1418070.114,0
 01/13  03:00:00,9478623.992,2025283.284,0
 01/13  04:00:00,9478623.992,3044908.129,0
 01/13  05:00:00,9478623.992,4086639.964,0
 01/13  06:00:00,9478623.992,731036290.4,0
 01/13  07:00:00,14017756.35,579277957.9,2.44E-04
 01/13  08:00:00,479136334.1,533867417.2,4.33E-02
 01/13  09:00:00,454118015.2,459723860.2,5.85E-02
 01/13  10:00:00,345679738.3,463387090.9,8.86E-02
 01/13  11:00:00,287451287.5,461031912,8.86E-02
 01/13  12:00:00,271240979.1,450340406.3,0.109565663
 01/13  13:00:00,266951743.6,448342586.9,0.157407058
 01/13  14:00:00,272843939.7,438673255.4,0.157407058
 01/13  15:00:00,295696138.4,420750447.4,0.151238988
 01/13  16:00:00,384112726.4,362076620,8.79E-02
 01/13  17:00:00,487200577.7,231511945.2,6.04E-02
 01/13  18:00:00,473470003.4,220069569.4,3.01E-02
 01/13  19:00:00,470351466.9,224092392.7,1.50E-02
 01/13  20:00:00,163453733.1,0,0
 01/13  21:00:00,12249030.9,1498479.956,0
 01/13  22:00:00,12249030.9,3655454.181,0
 01/13  23:00:00,11560350.54,4630135.529,0
 01/13  24:00:00,10182989.83,5247687.939,0
 01/14  01:00:00,9478623.992,5957604.962,0
 01/14  02:00:00,9478623.992,6521556.433,0
 01/14  03:00:00,9478623.992,6979938.531,0
 01/14  04:00:00,9478623.992,7541322.884,0
