Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/10  11:00:00,274872012.5,172354458.7,0.103975347
 01/10  12:00:00,258232005.4,125339457,0.134665347
 01/10  13:00:00,255401197,105670967.7,0.208148997
 01/10  14:00:00,257278168.9,95141045.6,0.208148997
 01/10  15:00:00,264071657.8,96373200.48,0.195800939
 01/10  16:00:00,337709015.7,68678380.17,0.103242122
 01/10  17:00:00,499076725.7,27996693.64,7.46E-02
 01/10  18:00:00,485817047.8,19005332.67,3.72E-02
 01/10  19:00:00,482700801.2,13862255.12,1.86E-02
 01/10  20:00:00,168554793.2,0,0
 01/10  21:00:00,12964410.58,0,0
 01/10  22:00:00,12964410.58,0,0
 01/10  23:00:00,12167826.12,0,0
 01/10  24:00:00,10574657.19,0,0
 01/11  01:00:00,9761104.792,0,0
 01/11  02:00:00,9761104.792,0,0
 01/11  03:00:00,9761104.792,0,0
 01/11  04:00:00,9761104.792,0,0
 01/11  05:00:00,9761104.792,0,0
 01/11  06:00:00,9761104.792,385045862,0
 01/11  07:00:00,14346905.25,288223618.3,2.44E-04
 01/11  08:00:00,491776279,139294421,4.80E-02
 01/11  09:00:00,454834880.6,116210519.7,6.68E-02
 01/11  10:00:00,317542486.5,167932394.3,0.103975347
 01/11  11:00:00,277259835.4,157359402.8,0.103975347
 01/11  12:00:00,265090066,157119140.6,0.134665347
 01/11  13:00:00,263452195.1,152843585.1,0.208148997
 01/11  14:00:00,275514270.9,154238340.5,0.208148997
 01/11  15:00:00,314522355.9,162771675.6,0.195800939
 01/11  16:00:00,414181378.7,122501475,0.103242122
 01/11  17:00:00,499076725.7,72942473.36,7.46E-02
 01/11  18:00:00,485817047.8,49288387.64,3.72E-02
 01/11  19:00:00,482700801.2,51222661.93,1.86E-02
 01/11  20:00:00,168554793.2,0,0
 01/11  21:00:00,12964410.58,0,0
 01/11  22:00:00,12964410.58,0,0
 01/11  23:00:00,12167826.12,0,0
 01/11  24:00:00,10574657.19,0,0
 01/12  01:00:00,9761104.792,0,0
 01/12  02:00:00,9761104.792,0,0
 01/12  03:00:00,9761104.792,0,0
 01/12  04:00:00,9761104.792,0,0
 01/12  05:00:00,9761104.792,0,0
 01/12  06:00:00,9761104.792,525009815.9,0
 01/12  07:00:00,14346905.25,394201023.6,2.44E-04
 01/12  08:00:00,491776279,263745754.2,4.80E-02
 01/12  09:00:00,469441147.1,215389908.2,6.68E-02
 01/12  10:00:00,358061584.1,277273840.9,0.103975347
 01/12  11:00:00,283694528.8,278000211.8,0.103975347
 01/12  12:00:00,265125864.7,265102461.1,0.134665347
 01/12  13:00:00,261511160.4,246341151,0.208148997
 01/12  14:00:00,262635234.7,221301655.1,0.208148997
 01/12  15:00:00,279746376.9,220778845.1,0.195800939
 01/12  16:00:00,355409593,191815849.1,0.103242122
 01/12  17:00:00,499076725.7,121015789.8,7.46E-02
 01/12  18:00:00,485817047.8,99774891.26,3.72E-02
 01/12  19:00:00,482700801.2,89714738.65,1.86E-02
 01/12  20:00:00,168554793.2,0,0
 01/12  21:00:00,12964410.58,0,0
 01/12  22:00:00,12964410.58,0,0
 01/12  23:00:00,12167826.12,0,0
 01/12  24:00:00,10574657.19,0,0
 01/13  01:00:00,9761104.792,0,0
 01/13  02:00:00,9761104.792,413293.096,0
 01/13  03:00:00,9761104.792,907793.0069,0
 01/13  04:00:00,9761104.792,1894716.333,0
 01/13  05:00:00,9761104.792,2467394.221,0
 01/13  06:00:00,9761104.792,624795335.1,0
 01/13  07:00:00,14346905.25,487252238.8,2.44E-04
 01/13  08:00:00,491776279,426863403.1,4.80E-02
 01/13  09:00:00,469346144.3,380680854.2,6.68E-02
 01/13  10:00:00,363612239.3,424735623.2,0.103975347
 01/13  11:00:00,302822232.8,431744000.6,0.103975347
 01/13  12:00:00,287302919.1,428589373.5,0.134665347
 01/13  13:00:00,281138949.2,424516307.9,0.208148997
 01/13  14:00:00,288652666.3,416148981,0.208148997
 01/13  15:00:00,311448360.8,413023684.9,0.195800939
 01/13  16:00:00,404279840.4,347018333.7,0.103242122
 01/13  17:00:00,499076725.7,237269088.6,7.46E-02
 01/13  18:00:00,485817047.8,198422676.3,3.72E-02
 01/13  19:00:00,482700801.2,187237049,1.86E-02
 01/13  20:00:00,168554793.2,0,0
 01/13  21:00:00,12964410.58,470062.2562,0
 01/13  22:00:00,12964410.58,2385698.258,0
 01/13  23:00:00,12167826.12,3418398.56,0
 01/13  24:00:00,10574657.19,4042959.909,0
 01/14  01:00:00,9761104.792,4758497.923,0
 01/14  02:00:00,9761104.792,5337063.321,0
 01/14  03:00:00,9761104.792,5810791.36,0
 01/14  04:00:00,9761104.792,6355700.934,0
 01/14  05:00:00,9761104.792,7154770.87,0
 01/14  06:00:00,9761104.792,7976903.432,0
 01/14  07:00:00,9761104.792,9206261.881,0
 01/14  08:00:00,9778072.731,10648710.83,0
 01/14  09:00:00,10660430.57,11862544,0
 01/14  10:00:00,10660430.57,9189324.06,0
 01/14  11:00:00,10660430.57,7161305.369,0
 01/14  12:00:00,10660430.57,5667119.809,0
 01/14  13:00:00,10660430.57,4354092.374,0
 01/14  14:00:00,10660430.57,3543090.958,0
 01/14  15:00:00,10660430.57,3297625.646,0
 01/14  16:00:00,10660430.57,4347600.261,0
 01/14  17:00:00,10660430.57,6168081.723,0
 01/14  18:00:00,10660430.57,6531132.413,0
 01/14  19:00:00,9778072.731,6574634.342,0
 01/14  20:00:00,9778072.731,6524850.919,0
 01/14  21:00:00,9778072.731,7217054.353,0
 01/14  22:00:00,9778072.731,7383558.783,0
 01/14  23:00:00,9778072.731,7550367.097,0
 01/14  24:00:00,9778072.731,7372113.471,0
 01/15  01:00:00,9761104.792,7069255.126,0
 01/15  02:00:00,9761104.792,7121336.981,0
 01/15  03:00:00,9761104.792,7138314.316,0
 01/15  04:00:00,9761104.792,7693300.415,0
 01/15  05:00:00,9761104.792,8370861.5,0
 01/15  06:00:00,9761104.792,9068066.064,0
 01/15  07:00:00,9761104.792,10788814.89,0
 01/15  08:00:00,9778072.731,12835256.7,0
 01/15  09:00:00,9778072.731,14932627.07,0
 01/15  10:00:00,9778072.731,10731313.67,0
 01/15  11:00:00,9778072.731,7171800.703,0
 01/15  12:00:00,9778072.731,5303070.209,0
 01/15  13:00:00,9778072.731,4262675.671,0
 01/15  14:00:00,9778072.731,3631019.539,0
 01/15  15:00:00,9778072.731,3547086.04,0
 01/15  16:00:00,9778072.731,4814193.854,0
 01/15  17:00:00,9778072.731,6184573.149,0
