Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/17  20:00:00,175777015.5,0,0
 01/17  21:00:00,13294952.55,0,0
 01/17  22:00:00,13294952.55,0,0
 01/17  23:00:00,12518539.94,986609.7527,0
 01/17  24:00:00,10965714.72,1447061.253,0
 01/18  01:00:00,10172196.09,1995728.697,0
 01/18  02:00:00,10172196.09,2524130.106,0
 01/18  03:00:00,10172196.09,2798223,0
 01/18  04:00:00,10172196.09,3123507.52,0
 01/18  05:00:00,10172196.09,4032889.649,0
 01/18  06:00:00,10172196.09,741111030.5,0
 01/18  07:00:00,14769099.7,598611438.8,2.68E-04
 01/18  08:00:00,501746864.7,540992713.4,5.70E-02
 01/18  09:00:00,473920120.2,470402279,7.81E-02
 01/18  10:00:00,358741001.1,467038000.3,0.1199618
 01/18  11:00:00,304409821.6,460802086.5,0.1199618
 01/18  12:00:00,289119198.2,439724624.7,0.1506833
 01/18  13:00:00,283992793.5,437937618.9,0.221939609
 01/18  14:00:00,289069460,422423313.1,0.221939609
 01/18  15:00:00,309580482.9,397964073.7,0.2118585
 01/18  16:00:00,391951740.4,349852583.6,0.119158399
 01/18  17:00:00,504192201.8,219789163.1,8.39E-02
 01/18  18:00:00,495689784.5,207356232.7,4.18E-02
 01/18  19:00:00,492570440.1,204373594.3,2.09E-02
 01/18  20:00:00,175777015.5,0,0
 01/18  21:00:00,13294952.55,846353.1254,0
 01/18  22:00:00,13294952.55,3084127.165,0
 01/18  23:00:00,12518539.94,4322049.355,0
 01/18  24:00:00,10965714.72,5216315.917,0
 01/19  01:00:00,10172196.09,5785950.983,0
 01/19  02:00:00,10172196.09,6157014.481,0
 01/19  03:00:00,10172196.09,6860955.874,0
 01/19  04:00:00,10172196.09,7316441.383,0
 01/19  05:00:00,10172196.09,9604245.015,0
 01/19  06:00:00,10172196.09,852857421.8,0
 01/19  07:00:00,14769099.7,712739874.7,2.68E-04
 01/19  08:00:00,501746864.7,733633347.4,5.70E-02
 01/19  09:00:00,449844547.4,659373287.5,7.81E-02
 01/19  10:00:00,302379035.1,651494276.9,0.1199618
 01/19  11:00:00,263483820.7,557172471.3,0.1199618
 01/19  12:00:00,262944349,474219157.4,0.1506833
 01/19  13:00:00,261756309.5,426035651.8,0.221939609
 01/19  14:00:00,261293971.4,391636104.6,0.221939609
 01/19  15:00:00,262480083.5,375403739.7,0.2118585
 01/19  16:00:00,292866542,353604251.4,0.119158399
 01/19  17:00:00,491486631.1,228705006.3,8.39E-02
 01/19  18:00:00,495689784.5,219199106,4.18E-02
 01/19  19:00:00,492570440.1,224147628.6,2.09E-02
 01/19  20:00:00,175777015.5,0,0
 01/19  21:00:00,13294952.55,4580721.975,0
 01/19  22:00:00,13294952.55,7519808.802,0
 01/19  23:00:00,12518539.94,9189114.525,0
 01/19  24:00:00,10965714.72,10658404.93,0
 01/20  01:00:00,10172196.09,11938749.68,0
 01/20  02:00:00,10172196.09,13350553.56,0
 01/20  03:00:00,10172196.09,18516709.97,0
 01/20  04:00:00,10172196.09,33248099.21,0
 01/20  05:00:00,10172196.09,55075588.09,0
