Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly) 
 01/13  05:00:00,9478623.9918672,4086639.9644208,0.0 
 01/13  06:00:00,9478623.9918672,731036290.385216,0.0 
 01/13  07:00:00,14017756.3489872,579277957.919571,2.444085151515151E-004 
 01/13  08:00:00,479136334.098694,533867417.157391,4.325677287878787E-002 
 01/13  09:00:00,454118015.18597,459723860.226145,5.853638650505051E-002 
 01/13  10:00:00,345679738.314524,463387090.894158,8.860679672727272E-002 
 01/13  11:00:00,287451287.538153,461031911.952347,8.860679672727272E-002 
 01/13  12:00:00,271240979.132403,450340406.254514,0.109565663393939 
 01/13  13:00:00,266951743.61476,448342586.903596,0.157407058282828 
 01/13  14:00:00,272843939.724449,438673255.399431,0.157407058282828 
 01/13  15:00:00,295696138.402832,420750447.444886,0.151238988212121 
 01/13  16:00:00,384112726.404163,362076620.004577,8.787357118181820E-002 
 01/13  17:00:00,487200577.68864,231511945.15785,6.038522895959597E-002 
 01/13  18:00:00,473470003.44288,220069569.437303,3.007041022222222E-002 
 01/13  19:00:00,470351466.855814,224092392.691419,1.503520511111111E-002 
 01/13  20:00:00,163453733.055814,0.0,0.0 
 01/13  21:00:00,12249030.8975472,1498479.95616615,0.0 
 01/13  22:00:00,12249030.8975472,3655454.1806316,0.0 
 01/13  23:00:00,11560350.5404272,4630135.52859414,0.0 
 01/13  24:00:00,10182989.8261872,5247687.93920371,0.0 
 01/14  01:00:00,9478623.9918672,5957604.96217173,0.0 
 01/14  02:00:00,9478623.9918672,6521556.43315248,0.0 
 01/14  03:00:00,9478623.9918672,6979938.53076781,0.0 
 01/14  04:00:00,9478623.9918672,7541322.88410378,0.0 
 01/14  05:00:00,9478623.9918672,9018458.83417745,0.0 
 01/14  06:00:00,9478623.9918672,10929980.9144823,0.0 
 01/14  07:00:00,9478623.9918672,13557755.441148,0.0 
 01/14  08:00:00,9494309.4690672,16125989.5918256,0.0 
