# ID,Name,Parameter Type,Description,Search String,Value Type,Value String,Selected Value Index
P90,Cast Concrete (Dense)_0.1 Visible Absorptance,PARAMETRICS,Material - Cast Concrete (Dense)_0.1 Visible Absorptance,@@tag90@@,DOUBLE,"{0.6, 0.5216, 0.6784}",0
P91,Chipboard_0.013 Conductivity,PARAMETRICS,Material - Chipboard_0.013 Conductivity,@@tag91@@,DOUBLE,"{0.15, 0.1341575086134366, 0.1658424913865633}",0
P92,Chipboard_0.013 Density,PARAMETRICS,Material - Chipboard_0.013 Density,@@tag92@@,DOUBLE,"{800.0, 744.1740779711578, 855.8259220288422}",0
P93,Chipboard_0.013 Specific Heat,PARAMETRICS,Material - Chipboard_0.013 Specific Heat,@@tag93@@,DOUBLE,"{2093.0, 1849.327394387621, 2336.672605612379}",0
P94,Chipboard_0.013 Thermal Absorptance,PARAMETRICS,Material - Chipboard_0.013 Thermal Absorptance,@@tag94@@,DOUBLE,"{0.9, 0.8608, 0.9392}",0
P95,Chipboard_0.013 Solar Absorptance,PARAMETRICS,Material - Chipboard_0.013 Solar Absorptance,@@tag95@@,DOUBLE,"{0.78, 0.682, 0.878}",0
P96,Chipboard_0.013 Visible Absorptance,PARAMETRICS,Material - Chipboard_0.013 Visible Absorptance,@@tag96@@,DOUBLE,"{0.78, 0.682, 0.878}",0
P97,Cast Concrete_0.2 Conductivity,PARAMETRICS,Material - Cast Concrete_0.2 Conductivity,@@tag97@@,DOUBLE,"{1.13, 0.9728503897554944, 1.2871496102445057}",0
P98,Cast Concrete_0.2 Density,PARAMETRICS,Material - Cast Concrete_0.2 Density,@@tag98@@,DOUBLE,"{2000.0, 1921.9490269118955, 2078.0509730881045}",0
P99,Cast Concrete_0.2 Specific Heat,PARAMETRICS,Material - Cast Concrete_0.2 Specific Heat,@@tag99@@,DOUBLE,"{1000.0, 951.8074528583516, 1048.1925471416484}",0
P100,Cast Concrete_0.2 Thermal Absorptance,PARAMETRICS,Material - Cast Concrete_0.2 Thermal Absorptance,@@tag100@@,DOUBLE,"{0.9, 0.8608, 0.9392}",0
P101,Cast Concrete_0.2 Solar Absorptance,PARAMETRICS,Material - Cast Concrete_0.2 Solar Absorptance,@@tag101@@,DOUBLE,"{0.6, 0.5216, 0.6784}",0
P102,Cast Concrete_0.2 Visible Absorptance,PARAMETRICS,Material - Cast Concrete_0.2 Visible Absorptance,@@tag102@@,DOUBLE,"{0.6, 0.5216, 0.6784}",0
P103,Standard insulation_0.0096 Conductivity,PARAMETRICS,Material - Standard insulation_0.0096 Conductivity,@@tag103@@,DOUBLE,"{0.04, 0.0370060505459621, 0.0429939494540378}",0
P104,Standard insulation_0.0096 Density,PARAMETRICS,Material - Standard insulation_0.0096 Density,@@tag104@@,DOUBLE,"{12.0, 6.225954624355642, 17.77404537564436}",0
P105,Standard insulation_0.0096 Specific Heat,PARAMETRICS,Material - Standard insulation_0.0096 Specific Heat,@@tag105@@,DOUBLE,"{840.0, 776.2716473354808, 903.7283526645192}",0
P106,Standard insulation_0.0096 Thermal Absorptance,PARAMETRICS,Material - Standard insulation_0.0096 Thermal Absorptance,@@tag106@@,DOUBLE,"{0.9, 0.8608, 0.9392}",0
