,Class,Object,Field,Default,Minimum,Maximum,Type,Group
2445,Lights,Level0:Zone1 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2446,ElectricEquipment,Level0:Zone1 Equipment 1,Design Level,542.5723,481.26163010000005,580.552361,Float,G503
2447,ElectricEquipment,Level0:Zone1 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G504
2448,WaterUse:Equipment,DHW Level0:Zone1,Peak Flow Rate,2.85e-07,1.9437e-07,4.175250000000001e-07,Float,G565
2461,ZoneInfiltration:DesignFlowRate,Level0:Zone1 Infiltration,Design Flow Rate,0.010308,0.010306328850980243,0.010309671149019756,Float,G228
2467,People,People Level0:Zone51,Fraction Radiant,0.3,0.285,0.315,Float,G501
2468,People,People Level0:Zone51,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2469,Lights,Level0:Zone51 General lighting,Lighting Level,118.9905,112.089051,129.699645,Float,G502
2470,Lights,Level0:Zone51 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2471,Lights,Level0:Zone51 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2472,Lights,Level0:Zone51 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2485,ZoneInfiltration:DesignFlowRate,Level0:Zone51 Infiltration,Design Flow Rate,0.006068,0.006066328850980242,0.006069671149019757,Float,G228
2491,People,People Level0:Zone44,Number of People,0.152058622,0.032844662351999995,0.271272581648,Float,G579
2492,People,People Level0:Zone44,Fraction Radiant,0.3,0.285,0.315,Float,G580
2493,People,People Level0:Zone44,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2494,Lights,Level0:Zone44 General lighting,Lighting Level,13.523,12.738666,14.74007,Float,G581
2495,Lights,Level0:Zone44 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2496,Lights,Level0:Zone44 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2497,Lights,Level0:Zone44 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2498,ElectricEquipment,Level0:Zone44 Equipment 1,Design Level,7.4106,6.5732022,7.929342,Float,G216
2499,ElectricEquipment,Level0:Zone44 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G217
2512,ZoneInfiltration:DesignFlowRate,Level0:Zone44 Infiltration,Design Flow Rate,0.000294,0.0002923288509802427,0.00029567114901975726,Float,G228
2518,People,People Level0:Zone33,Number of People,2.049727281,0.44274109269600004,3.656713469304,Float,G586
2519,People,People Level0:Zone33,Fraction Radiant,0.3,0.285,0.315,Float,G587
2520,People,People Level0:Zone33,Carbon Dioxide Generation Rate,3.82e-08,3.3e-08,4.4e-08,Float,G211
2521,Lights,Level0:Zone33 General lighting,Lighting Level,182.288,171.71529600000002,198.69392000000002,Float,G588
2522,Lights,Level0:Zone33 General lighting,Fraction Radiant,0.42,0.39899999999999997,0.441,Float,G213
2523,Lights,Level0:Zone33 General lighting,Fraction Visible,0.18,0.17099999999999999,0.189,Float,G214
2524,Lights,Level0:Zone33 General lighting,Fraction Replaceable,1.0,0.95,1.0,Float,G215
2525,ElectricEquipment,Level0:Zone33 Equipment 1,Design Level,99.8938,88.6058006,106.886366,Float,G413
2526,ElectricEquipment,Level0:Zone33 Equipment 1,Fraction Radiant,0.2,0.19,0.21000000000000002,Float,G414
2539,ZoneInfiltration:DesignFlowRate,Level0:Zone33 Infiltration,Design Flow Rate,0.00396,0.0039583288509802425,0.003961671149019757,Float,G228
