Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/08  02:00:00,10172196.09,85543035.73,0
 01/08  03:00:00,10172196.09,82871150.88,0
 01/08  04:00:00,10172196.09,79300540.26,0
 01/08  05:00:00,10172196.09,78686875.32,0
 01/08  06:00:00,10172196.09,75511229.13,0
 01/08  07:00:00,10172196.09,82596340.28,0
 01/08  08:00:00,10189302.1,86410254.89,0
 01/08  09:00:00,10189302.1,83603775.79,0
 01/08  10:00:00,10189302.1,76655767.66,0
 01/08  11:00:00,10189302.1,67252659.48,0
 01/08  12:00:00,10189302.1,56708732.05,0
 01/08  13:00:00,10189302.1,48346134.17,0
 01/08  14:00:00,10189302.1,44087417.27,0
 01/08  15:00:00,10189302.1,45883249.68,0
 01/08  16:00:00,10189302.1,51619434.42,0
 01/08  17:00:00,10189302.1,49094271.23,0
 01/08  18:00:00,10189302.1,35410594.72,0
 01/08  19:00:00,10189302.1,31279470.01,0
 01/08  20:00:00,10189302.1,29044596.61,0
 01/08  21:00:00,10189302.1,26190894.04,0
 01/08  22:00:00,10189302.1,23614166.22,0
 01/08  23:00:00,10189302.1,21577764.31,0
 01/08  24:00:00,10189302.1,19490841.81,0
 01/09  01:00:00,10172196.09,18504350.37,0
 01/09  02:00:00,10172196.09,16674370.1,0
 01/09  03:00:00,10172196.09,15366576.84,0
 01/09  04:00:00,10172196.09,13876684.12,0
 01/09  05:00:00,10172196.09,13745516.4,0
 01/09  06:00:00,10172196.09,847562410.4,0
 01/09  07:00:00,14769099.7,738830990.9,2.44E-04
 01/09  08:00:00,501746864.7,752498569.4,4.33E-02
 01/09  09:00:00,465896515.9,630474069.1,5.85E-02
 01/09  10:00:00,332940392,557065500,8.86E-02
 01/09  11:00:00,284326976.3,471154749.3,8.86E-02
 01/09  12:00:00,272118630,403530088.1,0.109565663
 01/09  13:00:00,269156061,360462466,0.157407058
 01/09  14:00:00,271720873.3,305810442.7,0.157407058
 01/09  15:00:00,290451285.7,245482925.2,0.151238988
 01/09  16:00:00,374110451.4,185246011.9,8.79E-02
 01/09  17:00:00,509602367.1,83407327.61,6.04E-02
 01/09  18:00:00,495689784.5,81912843.2,3.01E-02
 01/09  19:00:00,492570440.1,82183819.03,1.50E-02
 01/09  20:00:00,175777015.5,0,0
 01/09  21:00:00,13294952.55,0,0
 01/09  22:00:00,13294952.55,0,0
 01/09  23:00:00,12518539.94,0,0
 01/09  24:00:00,10965714.72,0,0
 01/10  01:00:00,10172196.09,0,0
 01/10  02:00:00,10172196.09,0,0
 01/10  03:00:00,10172196.09,0,0
 01/10  04:00:00,10172196.09,0,0
 01/10  05:00:00,10172196.09,30779.79561,0
 01/10  06:00:00,10172196.09,538126467.6,0
 01/10  07:00:00,14769099.7,416493323,2.44E-04
 01/10  08:00:00,501746864.7,246580444.8,4.33E-02
 01/10  09:00:00,464369303.2,190737974.2,5.85E-02
 01/10  10:00:00,324365415,195228792.2,8.86E-02
 01/10  11:00:00,280804383.2,148968919.2,8.86E-02
 01/10  12:00:00,265048141.8,92619539.21,0.109565663
 01/10  13:00:00,262075737.4,77357437.02,0.157407058
 01/10  14:00:00,264021318.3,68058592.65,0.157407058
 01/10  15:00:00,270929833.7,63155477.65,0.151238988
 01/10  16:00:00,345082891.6,43522134.97,8.79E-02
 01/10  17:00:00,509602367.1,22591283.23,6.04E-02
 01/10  18:00:00,495689784.5,17289624.04,3.01E-02
 01/10  19:00:00,492570440.1,14416485.98,1.50E-02
 01/10  20:00:00,175777015.5,0,0
 01/10  21:00:00,13294952.55,0,0
 01/10  22:00:00,13294952.55,0,0
 01/10  23:00:00,12518539.94,0,0
 01/10  24:00:00,10965714.72,0,0
 01/11  01:00:00,10172196.09,0,0
 01/11  02:00:00,10172196.09,0,0
 01/11  03:00:00,10172196.09,0,0
 01/11  04:00:00,10172196.09,0,0
 01/11  05:00:00,10172196.09,0,0
 01/11  06:00:00,10172196.09,464908812.1,0
 01/11  07:00:00,14769099.7,351248120.8,2.44E-04
 01/11  08:00:00,501746864.7,179939571.6,4.33E-02
 01/11  09:00:00,464258164.2,129169003.6,5.85E-02
 01/11  10:00:00,324080481.7,151599813.5,8.86E-02
 01/11  11:00:00,283273421.1,136146134.4,8.86E-02
 01/11  12:00:00,271467438.8,134570841,0.109565663
 01/11  13:00:00,270225906.5,134572442.6,0.157407058
 01/11  14:00:00,281422897.9,134345646.1,0.157407058
 01/11  15:00:00,320540830,131073224.5,0.151238988
 01/11  16:00:00,423721228.8,96106414.89,8.79E-02
 01/11  17:00:00,509602367.1,52074862.84,6.04E-02
 01/11  18:00:00,495689784.5,47467619.93,3.01E-02
 01/11  19:00:00,492570440.1,60047772.29,1.50E-02
 01/11  20:00:00,175777015.5,0,0
 01/11  21:00:00,13294952.55,0,0
 01/11  22:00:00,13294952.55,0,0
 01/11  23:00:00,12518539.94,0,0
 01/11  24:00:00,10965714.72,0,0
 01/12  01:00:00,10172196.09,0,0
 01/12  02:00:00,10172196.09,0,0
 01/12  03:00:00,10172196.09,0,0
 01/12  04:00:00,10172196.09,0,0
 01/12  05:00:00,10172196.09,208110.8671,0
 01/12  06:00:00,10172196.09,624392647.1,0
 01/12  07:00:00,14769099.7,480616767.3,2.44E-04
 01/12  08:00:00,501746864.7,336875225.4,4.33E-02
 01/12  09:00:00,479047824.5,256110948,5.85E-02
 01/12  10:00:00,365716209.9,279199246.5,8.86E-02
 01/12  11:00:00,289333876.8,274621533.6,8.86E-02
 01/12  12:00:00,271533513.2,256324340.3,0.109565663
 01/12  13:00:00,268408608.5,240200047.1,0.157407058
 01/12  14:00:00,269403707.9,209598293.1,0.157407058
 01/12  15:00:00,285853434.3,196784364.3,0.151238988
 01/12  16:00:00,363166299,173163309.7,8.79E-02
 01/12  17:00:00,509602367.1,98790392.34,6.04E-02
 01/12  18:00:00,495689784.5,101001850.2,3.01E-02
 01/12  19:00:00,492570440.1,103827225.3,1.50E-02
 01/12  20:00:00,175777015.5,0,0
 01/12  21:00:00,13294952.55,0,0
 01/12  22:00:00,13294952.55,0,0
 01/12  23:00:00,12518539.94,0,0
 01/12  24:00:00,10965714.72,0,0
 01/13  01:00:00,10172196.09,655345.9484,0
 01/13  02:00:00,10172196.09,1381707.85,0
 01/13  03:00:00,10172196.09,1988369.28,0
 01/13  04:00:00,10172196.09,3010033.922,0
 01/13  05:00:00,10172196.09,4021409.306,0
 01/13  06:00:00,10172196.09,726557435.1,0
 01/13  07:00:00,14769099.7,575014419.2,2.44E-04
 01/13  08:00:00,501746864.7,513791490.1,4.33E-02
 01/13  09:00:00,478951735.6,438546171.8,5.85E-02
 01/13  10:00:00,371256864.2,442033691.5,8.86E-02
 01/13  11:00:00,308551120.8,442908830.1,8.86E-02
 01/13  12:00:00,292780387.6,432107021.4,0.109565663
 01/13  13:00:00,287228018.4,431049010.3,0.157407058
 01/13  14:00:00,294358785.5,421243253.3,0.157407058
 01/13  15:00:00,317403491.9,403047463.2,0.151238988
 01/13  16:00:00,413710428.7,339842477.3,8.79E-02
