Class,Object,Field,Default,Minimum,Maximum,Type,Group
Schedule:Day:Hourly,50,Hour 23,50,45,55,Float,G068
Schedule:Day:Hourly,50,Hour 24,50,45,55,Float,G068
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 1,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 2,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 3,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 4,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 5,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 6,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 7,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 8,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 9,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 10,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 11,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 12,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 13,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 14,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 15,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 16,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 17,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 18,4,3.6,4.4,Float,G076
Schedule:Day:Hourly,Summer Control Type Day Sch,Hour 19,4,3.6,4.4,Float,G076
