#,Job_ID,Reserved,DistrictHeating
386,Job2178,,253296.10
387,Job2180,,253405.55
388,Job2181,,253229.44
389,Job2179,,253296.10
390,Job2182,,253291.15
391,Job2185,,253359.67
392,Job2183,,253301.09
393,Job2184,,253252.67
394,Job2195,,253272.16
395,Job2196,,253295.22
396,Job2197,,253297.04
397,Job2198,,253295.73
398,Job2199,,253296.49
399,Job2200,,253296.10
400,Job2201,,253296.10
401,Job2202,,253318.01
402,Job2203,,253282.41
403,Job2204,,253295.81
404,Job2214,,253296.10
405,Job2215,,253296.10
406,Job2205,,253296.41
407,Job2206,,253282.07
408,Job2208,,253296.01
409,Job2209,,253296.19
410,Job2210,,253518.78
411,Job2207,,253316.65
412,Job2212,,253294.75
413,Job2213,,253297.47
414,Job2211,,253110.63
415,Job2234,,253294.10
416,Job2233,,253096.93
417,Job2216,,253338.33
418,Job2219,,253302.20
419,Job2218,,253289.78
420,Job2220,,253293.05
421,Job2217,,253230.69
422,Job2222,,253296.10
423,Job2221,,253298.76
424,Job2224,,253362.05
425,Job2223,,253296.10
426,Job2225,,253255.96
427,Job2226,,253294.34
428,Job2228,,253259.55
429,Job2227,,253297.89
430,Job2229,,253349.07
431,Job2230,,253296.01
432,Job2231,,253296.19
433,Job2232,,253521.60
434,Job2235,,253298.11
435,Job2236,,253296.10
436,Job2237,,253296.10
437,Job2238,,253339.02
438,Job2239,,253230.62
439,Job2243,,253300.01
440,Job2240,,253286.99
441,Job2242,,253292.21
442,Job2241,,253305.31
443,Job2270,,253291.00
444,Job2271,,253301.21
445,Job2272,,253249.49
446,Job2244,,253296.10
447,Job2245,,253296.10
448,Job2247,,253255.55
449,Job2246,,253363.05
450,Job2248,,253293.44
451,Job2249,,253298.78
452,Job2250,,253265.38
453,Job2252,,253296.01
454,Job2251,,253341.13
455,Job2257,,253300.06
456,Job2253,,253296.19
457,Job2255,,252965.82
458,Job2256,,253292.15
459,Job2259,,253296.10
460,Job2254,,253670.36
461,Job2258,,253296.10
462,Job2260,,253346.54
463,Job2261,,253217.26
464,Job2262,,253283.31
465,Job2263,,253309.15
466,Job2265,,253301.81
467,Job2264,,253290.40
468,Job2267,,253296.10
469,Job2266,,253296.10
470,Job2269,,253228.98
471,Job2268,,253405.57
472,Job2282,,253330.89
473,Job2283,,253242.90
474,Job2284,,253288.25
475,Job2285,,253304.04
476,Job2273,,253364.43
477,Job2274,,253296.01
478,Job2275,,253296.20
479,Job2276,,253505.00
480,Job2277,,253109.49
481,Job2278,,253294.13
482,Job2280,,253296.10
483,Job2279,,253298.08
484,Job2281,,253296.10
485,Job2286,,253292.70
486,Job2288,,253296.10
487,Job2287,,253299.52
488,Job2289,,253296.10
489,Job2290,,253357.78
490,Job2294,,253269.62
491,Job2295,,253334.77
492,Job2296,,253296.01
493,Job2297,,253296.20
494,Job2298,,253480.80
495,Job2293,,253298.71
496,Job2291,,253258.68
497,Job2292,,253293.50
498,Job2299,,253134.36
499,Job2300,,253295.83
500,Job2301,,253296.38
501,Job2303,,253296.10
502,Job2302,,253296.10
503,Job2312,,253355.22
504,Job2304,,253337.72
505,Job2305,,253230.93
506,Job2306,,253294.00
507,Job2307,,253297.84
508,Job2308,,253295.43
509,Job2309,,253296.79
510,Job2313,,253259.62
511,Job2314,,253295.55
512,Job2310,,253296.10
513,Job2311,,253296.10
514,Job2315,,253296.66
515,Job2317,,253359.67
516,Job2316,,253252.67
517,Job2320,,253422.26
518,Job2318,,253296.03
519,Job2319,,253296.18
520,Job2321,,253180.38
521,Job2322,,253294.87
522,Job2323,,253297.34
523,Job2325,,253296.10
524,Job2324,,253296.10
525,Job2337,,253297.65
526,Job2338,,253280.48
527,Job2339,,253318.99
528,Job2326,,253313.08
529,Job2340,,253296.00
530,Job2341,,253296.20
531,Job2342,,253453.45
532,Job2327,,253269.38
533,Job2343,,253154.04
534,Job2328,,253291.74
535,Job2344,,253294.56
536,Job2329,,253300.08
537,Job2330,,253294.33
538,Job2345,,253297.65
539,Job2332,,253296.10
540,Job2333,,253296.10
541,Job2331,,253297.88
542,Job2334,,253332.99
543,Job2335,,253273.39
544,Job2336,,253294.56
545,Job2346,,253296.10
546,Job2347,,253296.10
547,Job2349,,253282.01
548,Job2350,,253293.89
549,Job2348,,253305.23
550,Job2351,,253298.32
551,Job2356,,253311.12
552,Job2352,,253295.10
553,Job2353,,253297.10
554,Job2355,,253296.10
555,Job2354,,253296.10
556,Job2357,,253286.89
557,Job2358,,253295.45
558,Job2359,,253296.75
559,Job2360,,253296.02
560,Job2361,,253296.19
561,Job2362,,253311.32
562,Job2363,,253282.22
563,Job2364,,253296.03
564,Job2366,,253296.10
565,Job2369,,253293.95
566,Job2387,,253296.10
567,Job2368,,253297.50
568,Job2367,,253296.10
569,Job2365,,253296.18
570,Job2388,,253307.95
571,Job2371,,253296.27
572,Job2378,,253296.07
573,Job2374,,253296.10
574,Job2389,,253275.95
575,Job2392,,253296.13
576,Job2391,,253295.58
577,Job2390,,253294.61
578,Job2393,,253295.92
579,Job2373,,253296.17
580,Job2394,,253296.10
581,Job2375,,253296.10
582,Job2380,,253296.03
583,Job2377,,253295.20
584,Job2379,,253296.14
585,Job2383,,253235.55
586,Job2376,,253297.57
587,Job2395,,253296.10
588,Job2396,,253344.32
589,Job2397,,253265.39
590,Job2370,,253295.94
591,Job2372,,253296.03
592,Job2382,,253358.86
593,Job2381,,253296.18
594,Job2398,,253296.15
595,Job2384,,253296.17
596,Job2385,,253296.03
597,Job2386,,253296.10
598,Job2400,,253281.83
599,Job2399,,253295.97
