#,Job_ID,Reserved,Electricity
128,Job1328,,284937.49
129,Job1330,,284950.61
130,Job1334,,284950.61
131,Job1329,,284958.74
132,Job1333,,284950.61
133,Job1336,,284950.61
134,Job1339,,284950.61
135,Job1337,,284950.61
136,Job1335,,284950.61
137,Job1332,,284950.61
138,Job1338,,284950.61
139,Job1359,,284950.61
140,Job1340,,284916.50
141,Job1341,,285003.54
142,Job1342,,284950.61
143,Job1343,,284950.61
144,Job1344,,284950.61
145,Job1345,,284950.61
146,Job1346,,284950.61
147,Job1348,,284709.57
148,Job1353,,284950.61
149,Job1347,,284950.61
150,Job1352,,284950.61
151,Job1355,,284950.61
152,Job1350,,284950.61
153,Job1356,,284950.61
154,Job1357,,284950.61
155,Job1354,,284950.61
156,Job1351,,284950.61
157,Job1349,,285099.93
158,Job1358,,284950.61
159,Job1360,,284950.61
160,Job1361,,284950.61
161,Job1362,,284938.08
162,Job1364,,284950.61
163,Job1363,,284970.06
164,Job1366,,284950.61
165,Job1365,,284950.61
166,Job1367,,284950.61
167,Job1368,,284950.61
168,Job1369,,284950.61
169,Job1370,,284938.22
170,Job1375,,284950.61
171,Job1376,,284950.61
172,Job1374,,284950.61
173,Job1373,,284950.61
174,Job1377,,284950.61
175,Job1371,,284958.28
176,Job1372,,284950.61
177,Job1378,,284950.61
178,Job1379,,284950.61
179,Job1380,,284950.61
180,Job1381,,284950.61
181,Job1401,,284950.61
182,Job1382,,284885.89
183,Job1383,,285051.04
184,Job1384,,284950.61
185,Job1386,,284950.61
186,Job1385,,284950.61
187,Job1387,,284950.61
188,Job1389,,284950.61
189,Job1388,,284950.61
190,Job1390,,284895.62
191,Job1393,,284950.61
192,Job1396,,284950.61
193,Job1392,,284950.61
194,Job1394,,284950.61
195,Job1395,,284950.61
196,Job1398,,284950.61
197,Job1399,,284950.61
198,Job1391,,284984.68
199,Job1397,,284950.61
200,Job1400,,284950.61
201,Job1403,,285004.35
202,Job1402,,284915.98
203,Job1421,,284950.61
204,Job1404,,284950.61
205,Job1405,,284950.61
206,Job1407,,284950.61
207,Job1406,,284950.61
208,Job1408,,284950.61
209,Job1409,,284950.61
210,Job1410,,284639.11
211,Job1411,,285143.57
212,Job1412,,284950.61
213,Job1420,,284950.61
214,Job1413,,284950.61
215,Job1414,,284950.61
216,Job1419,,284950.61
217,Job1415,,284950.61
218,Job1418,,284950.61
219,Job1416,,284950.61
220,Job1417,,284950.61
221,Job1422,,284950.61
222,Job1423,,284950.61
223,Job1424,,284900.71
224,Job1425,,285028.04
225,Job1427,,284950.61
226,Job1428,,284950.61
227,Job1429,,284950.61
228,Job1430,,284950.61
229,Job1432,,284639.11
230,Job1426,,284950.61
231,Job1431,,284950.61
232,Job1433,,285143.57
233,Job1439,,284950.61
234,Job1435,,284950.61
235,Job1437,,284950.61
236,Job1434,,284950.61
237,Job1440,,284950.61
238,Job1438,,284950.61
239,Job1436,,284950.61
240,Job1441,,284950.61
241,Job1442,,284950.61
242,Job1443,,284950.61
243,Job1444,,284950.61
244,Job1463,,284950.61
245,Job1445,,284950.61
246,Job1464,,284950.61
247,Job1447,,284976.45
248,Job1446,,284933.96
249,Job1448,,284950.61
250,Job1449,,284950.61
251,Job1450,,284950.61
252,Job1451,,284950.61
253,Job1454,,284897.58
254,Job1455,,284983.47
255,Job1452,,284950.61
256,Job1453,,284950.61
257,Job1456,,284950.61
258,Job1459,,284950.61
259,Job1458,,284950.61
260,Job1460,,284950.61
261,Job1457,,284950.61
262,Job1461,,284950.61
263,Job1462,,284950.61
264,Job1465,,284950.61
265,Job1466,,284950.61
266,Job1467,,284950.61
267,Job1468,,284918.69
268,Job1469,,285000.14
269,Job1470,,284950.61
270,Job1471,,284950.61
271,Job1472,,284950.61
272,Job1474,,284950.61
273,Job1473,,284950.61
274,Job1476,,284692.57
275,Job1475,,284950.61
276,Job1477,,285110.46
277,Job1478,,284950.61
278,Job1479,,284950.61
279,Job1480,,284950.61
280,Job1481,,284950.61
281,Job1482,,284950.61
282,Job1483,,284950.61
283,Job1484,,284950.61
284,Job1485,,284950.61
285,Job1486,,284950.61
286,Job1487,,284950.61
287,Job1505,,284950.61
288,Job1506,,284950.61
289,Job1488,,284950.61
290,Job1507,,284950.61
291,Job1489,,284950.61
292,Job1490,,284926.09
293,Job1491,,284988.66
294,Job1492,,284950.61
295,Job1493,,284950.61
296,Job1495,,284950.61
297,Job1500,,284950.61
298,Job1502,,284950.61
299,Job1503,,284950.61
