#,Job_ID,Reserved,Water
492,Job1084,,246.59
493,Job1089,,246.59
494,Job1090,,246.10
495,Job1099,,246.59
496,Job1094,,246.59
497,Job1093,,246.59
498,Job1095,,246.59
499,Job1100,,246.59
500,Job1101,,246.59
501,Job1103,,246.59
502,Job1102,,246.59
503,Job1104,,246.59
504,Job1105,,246.59
505,Job1107,,246.59
506,Job1106,,246.59
507,Job1108,,246.59
508,Job1109,,246.59
509,Job1110,,246.59
510,Job1111,,246.59
511,Job1119,,246.59
512,Job1120,,246.59
513,Job1121,,246.59
514,Job1124,,246.59
515,Job1123,,246.59
516,Job1125,,246.59
517,Job1122,,246.59
518,Job1126,,246.59
519,Job1112,,246.59
520,Job1127,,246.59
521,Job1128,,246.59
522,Job1113,,246.59
523,Job1114,,246.59
524,Job1118,,246.59
525,Job1129,,246.59
526,Job1115,,246.59
527,Job1117,,247.34
528,Job1116,,246.07
529,Job1130,,246.59
530,Job1131,,246.59
531,Job1155,,246.59
532,Job1156,,246.59
533,Job1132,,246.59
534,Job1158,,246.59
535,Job1157,,246.59
536,Job1133,,246.59
537,Job1159,,246.59
538,Job1160,,246.59
539,Job1161,,246.59
540,Job1134,,246.59
541,Job1136,,246.59
542,Job1135,,246.59
543,Job1138,,246.59
544,Job1140,,246.59
545,Job1137,,246.59
546,Job1141,,246.59
547,Job1139,,246.59
548,Job1144,,246.59
549,Job1149,,246.59
550,Job1147,,246.59
551,Job1142,,246.10
552,Job1148,,246.59
553,Job1143,,247.31
554,Job1150,,246.59
555,Job1145,,246.59
556,Job1146,,246.59
557,Job1151,,246.59
558,Job1152,,246.59
559,Job1154,,246.59
560,Job1153,,246.59
561,Job1162,,246.59
562,Job1163,,246.59
563,Job1164,,246.59
564,Job1165,,246.59
565,Job1166,,246.59
566,Job1168,,246.57
567,Job1167,,246.59
568,Job1170,,246.59
569,Job1169,,246.62
570,Job1171,,246.59
571,Job1183,,246.59
572,Job1186,,246.59
573,Job1185,,246.59
574,Job1172,,246.59
575,Job1184,,246.59
576,Job1187,,246.59
577,Job1173,,246.59
578,Job1174,,246.59
579,Job1191,,246.59
580,Job1175,,246.59
581,Job1176,,246.59
582,Job1177,,246.59
583,Job1178,,246.59
584,Job1179,,246.59
585,Job1180,,246.59
586,Job1182,,246.59
587,Job1181,,246.59
588,Job1188,,246.59
589,Job1189,,246.59
590,Job1190,,246.59
591,Job1193,,246.59
592,Job1194,,246.50
593,Job1196,,246.59
594,Job1195,,246.71
595,Job1197,,246.59
596,Job1192,,246.59
597,Job1198,,246.59
598,Job1200,,246.59
599,Job1199,,246.59
